wallet_address,account_id,deposits_count,deposits_total_amount,deposits_total_usd,withdraws_count,withdraws_total_amount,withdraws_total_usd,borrows_count,borrows_total_amount,borrows_total_usd,repays_count,repays_total_amount,repays_total_usd,liquidates_count,liquidates_total,liquidates_total_usd,liquidates_avg_usd,cluster,wallet_score
8809,0xa24f2e6dcbd2da9a220958401dab74b365bd34e1,132.0,4.294294097448839e+22,69860.49609597935,232.0,6.289396401946402e+22,123234.94818109284,150.0,1.7035956728022727e+21,45597.77679939124,422.0,1.2640295688846183e+21,44775.07989573516,0.0,0.0,0.0,0.0,0,95
10386,0xbed4e3cd89918563a9ce4b04cf5379daf566bd53,145.0,2.1611805891441172e+23,243362.5678325209,199.0,3.391018572665675e+23,470324.3690921301,65.0,4.996244202911881e+22,83149.43229072726,84.0,4.997865848986846e+22,83124.0780818366,0.0,0.0,0.0,0.0,0,95
9503,0xaeebe2d33fbdf50684161d1c1ed29a42ac915841,303.0,1.5943699999999975e+23,159559.78609625387,388.0,2.2568355119677457e+23,225445.86416040387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,95
5417,0x64ead14ad73ac013dcfa181ca72c13e935fb3c13,73.0,1.0155719907606302e+22,68713.33759261224,74.0,1.4055454713683464e+22,71007.77908414899,64.0,2.511028063252452e+22,36548.26469086147,41.0,2.5674214228330115e+22,35372.36174255279,0.0,0.0,0.0,0.0,0,95
1138,0x14c45cd15d33eaa8aa149e3ca0e6924db143b08c,80.0,1.0159289116093337e+21,237697.63556567184,102.0,3.442115000592609e+21,690526.7452351511,91.0,6.483161737185757e+23,647057.1396655254,88.0,4.961583586826076e+23,494795.7825079157,0.0,0.0,0.0,0.0,0,95
13507,0xf8fbc9298650f49f9b6280ead636c1811c6ca1a1,83.0,1.1018329999999998e+21,1808.0371817592109,100.0,3.5109597672504516e+21,5563.062390751485,211.0,1.6520000000056067e+21,7265.094206609044,313.0,1.4844951641852506e+21,6957.86753747854,0.0,0.0,0.0,0.0,0,95
438,0x07326cbe4792e8e3c1f61c66fefee8253eb2db0c,204.0,3.937816239224268e+22,49401.7975954531,177.0,3.966181516930724e+22,49406.54814051011,16.0,8250000000.0,8250.0,26.0,8414596340.0,8414.596340000002,0.0,0.0,0.0,0.0,0,95
9793,0xb435871b0959561226b4d903b1abf79528177e81,72.0,2.623874139436345e+24,2954785.3841815167,80.0,2.65754905236962e+24,3126694.825192767,6.0,6.499999999999999e+22,65093.813228214975,4.0,6.501118860841744e+22,64996.11828973562,0.0,0.0,0.0,0.0,0,95
12174,0xdfb00d9a518d82c9141506bbc6fb1fe5e727f55c,84.0,9.094281294460097e+22,91011.17127688334,66.0,9.102844649136539e+22,91324.7213644028,47.0,1.405589930595337e+22,46382.81230519809,16.0,1.4049962599857368e+22,16657.171866349123,0.0,0.0,0.0,0.0,0,95
3387,0x3eab4037a2e7f4d4d0946c091fe135838221f2b6,354.0,1.530627410983932e+23,153542.53174521858,509.0,1.9515382748147728e+23,195221.9486259967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,95
11681,0xd6390178b2002a0758e8b3486fddc1c4bc23ebe1,53.0,7.714130593065035e+23,1766902.9567304926,70.0,6.204839659968505e+23,1357684.6218360662,88.0,1.370000000020561e+23,2202029.8242226094,74.0,1.3768661514216505e+23,2007732.9625275186,0.0,0.0,0.0,0.0,0,95
5237,0x6168bb05ccb4aaded0169602bbb6e3cae12902c5,118.0,6.909053990142669e+21,8801.385982399854,105.0,5.5424667181392e+21,6260.598950455535,186.0,2.5382666198756643e+21,7166.516233749331,116.0,1.7408307158510063e+21,2023.526348391909,0.0,0.0,0.0,0.0,0,95
8506,0x9d4da31a6f741c53a8f098bce221ecdd4a9cf6be,108.0,2.4377000000000004e+22,24415.814026976946,100.0,2.4088138090560805e+22,24085.181422676917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,95
10170,0xbabe31056c0fe1b704d811b2405f6e9f5ae5e59d,107.0,5.625418847458443e+23,824240.3723982952,88.0,5.6264757061383265e+23,841700.7548579925,73.0,2.7112576817438737e+23,563510.3869333207,47.0,2.7077505259709832e+23,271641.17602575006,0.0,0.0,0.0,0.0,0,95
1466,0x1b2b76f9f77b57ee2034c591cc143be803d6b0b8,63.0,2.236585877557628e+21,483787.224331937,138.0,3.40802880038228e+21,706318.1974718374,129.0,7.847541091756424e+23,786342.7039238153,152.0,7.302004722612012e+23,729735.1737988944,0.0,0.0,0.0,0.0,0,95
9585,0xb0804b6dbe7159bddc1b6c9c00c796d94eee1858,52.0,2.8972947379556348e+22,37246.36498509624,63.0,2.9023003923229184e+22,35790.33228166826,27.0,2.272242531418843e+19,17608.68178897206,43.0,2.273131906891404e+19,17703.61820964311,0.0,0.0,0.0,0.0,0,95
3588,0x42b9df65b219b3dd36ff330a4dd8f327a6ada990,95.0,2.235435276747e+19,36.84354018182039,52.0,2.2588985934308684e+19,32.65138617631943,30.0,3.05571124309977e+18,34.58210341984158,14.0,2.9537218208726113e+18,21.51694156902579,0.0,0.0,0.0,0.0,0,95
7833,0x91351a04b3365808518d22db2884d3c288a4bbd1,14.0,3.890000000152149e+20,96046.57934381692,63.0,1.3309989656660167e+21,282512.12263837893,64.0,2.6605004875833055e+23,314503.0476635115,71.0,2.5642884139763342e+23,305291.4405199511,0.0,0.0,0.0,0.0,0,85
